91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91
91	91	91	91	91	91	48	91	91	91	91	91	91	48	48	48	48	48	91	91	91	91	91	91	91	91	48	91	91	91	91	91	91	48	48	91	48	91	91	48	91	91	91	91	91	91	91	91	48	91	91	91	91	48	48	48	48	91	91	91	91	91	91	91	91	91	91	48	91	91	91	91	48	91	48	48	48	48	91	91	91	91	91	91	91	91	91	48	91	91	91	91	48	91	48	48	48	48	91	91	91	91	91	91	91	91	48	48	91	91	91	48	48	48	48	48	48	91	91	91	91	91	91	48	48	48	91	48	91	91	91	48	48	48	48	48	48	48	91	91	91	91	91	48	91	48	91	48	91	141	91	91	48	48	48	48	48	48	91	91	91	91	91	48	91	91	48	48	91	141	91	91	91	48	48	48	48	48	91	91	91	91	91	91	91	91	48	91	91	91	91	91	91	91	48	48	91	48	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	48	48	91	91	91	91	91	91	91	91	91	141	91	91	91	91	91	57	48	91	48	48	91	48	91	91	91	91	91	91	91	91	91	91	57	91	57	91	48	91	48	91	91	91	91	91	91	91	91	91	91	91	91	91	57	91	57	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	57	91	57	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	57	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	57	57	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	57	91	91	48	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91
74	74	74	74	74	91	91	74	74	74	74	74	74	74	74	74	57	149	149	104	74	74	74	74	74	91	91	74	74	74	74	74	74	74	74	74	48	74	149	57	74	74	74	74	74	74	91	74	74	74	74	74	74	74	74	74	48	74	74	57	74	74	74	74	74	74	171	171	74	74	74	74	74	74	74	74	57	57	74	91	74	74	74	74	74	74	171	171	74	74	74	74	125	74	74	74	57	173	91	91	74	74	74	74	74	74	171	91	91	171	91	91	171	74	74	74	57	57	74	74	74	74	74	74	74	74	91	171	171	171	171	171	171	171	74	74	74	48	74	74	74	74	74	74	74	74	171	171	171	171	171	171	171	171	74	74	74	48	74	74	74	74	74	74	74	74	171	171	171	171	171	171	171	91	74	74	74	57	74	74	74	91	74	74	74	74	171	171	171	171	171	171	33	91	74	74	74	57	48	74	74	57	74	74	74	74	171	171	171	171	171	91	171	171	74	74	74	57	48	91	74	74	74	74	74	74	171	171	171	171	171	171	171	171	74	74	74	57	48	48	74	74	74	74	74	74	171	171	171	171	171	171	171	171	171	74	74	48	48	48	91	91	74	74	74	74	91	33	144	144	144	144	144	144	91	74	74	48	48	48	57	57	74	74	74	74	91	91	91	57	91	57	144	144	91	74	74	48	48	57	57	57	74	74	74	74	74	74	91	57	57	57	91	74	74	74	74	91	173	57	57	57	74	74	74	74	74	74	48	48	57	57	91	74	74	74	74	74	48	57	104	74	74	74	74	74	74	74	74	74	74	91	74	141	74	74	74	74	48	57	57	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	48	57	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	48	48
91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	117	117	117	117	117	117	117	117	117	117	117	117	91	91	48	48	48	48	91	91	117	117	117	117	117	117	117	117	117	48	91	48	48	48	48	48	48	48	74	74	91	91	91	91	48	91	91	91	91	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	74	74	74	48	48	48	48	48	48	48	48	48	48	48	91	91	91	91	48	48	74	74	48	48	48	48	48	48	48	48	48	91	91	91	91	91	48	91	74	74	48	48	48	48	48	91	91	78	78	78	91	91	91	74	74	74	74	74	74	48	48	91	48	48	91	91	78	78	78	78	78	78	91	91	74	74	74	74	74	48	48	48	48	91	48	91	91	91	91	91	91	91	91	91	91	74	74	74	74	48	48	48	91	91	91	91	48	48	48	91	91	48	48	48	48	48	74	74	91	91	91	91	91	91	91	91	91	91	91	74	74	74	74	48	48	74	74	149	91	91	91	91	74	91	91	91	91	91	91	91	74	74	74	48	48	74	141	91	91	91	91	91	74	91	91	91	91	91	91	91	91	149	149	48	48	91	91	91	91	91	91	91	74	74	91	91	91	91	91	91	91	91	48	48	91	91	91	173	173	91	91	91	91	91	91	91	91	91	91	91	91	91	48	91	91	91	48	48	91	91	91	91	91	48	128	91	91	91	91	91	91	91	91	91	91	91	48	91	128	91	91	128	128	128	74	74	91	91	91	91	91	91	91	91	91	91	91	91	128	128	128	128	128	141	91	91	91	91	91	91	91	128	91	91	91	91	91	91	91	91	128	128	128	128	74	74	91	91	91	91	91	91	91	91	91	91	48	91	91	91	128	128	128	128
74	74	141	74	74	144	144	144	144	74	74	171	171	74	74	74	91	91	91	91	74	74	74	141	74	74	144	74	144	171	74	171	171	74	74	171	171	91	91	171	149	74	101	74	74	141	141	74	74	74	74	74	74	74	74	171	171	171	171	171	74	149	57	149	74	141	74	141	144	74	74	74	74	74	74	171	171	171	171	171	74	74	74	74	74	74	144	74	141	74	74	171	74	74	74	171	91	91	171	171	74	74	74	74	74	74	144	74	141	74	141	74	74	74	74	171	171	149	74	171	15	149	101	74	74	141	194	74	74	74	74	74	74	57	74	125	125	149	149	149	101	101	101	74	74	74	74	149	149	149	74	74	149	74	74	149	125	149	74	149	101	101	57	101	101	149	149	74	74	149	149	149	149	74	149	74	149	149	101	149	101	15	101	101	149	149	15	149	149	149	149	149	149	101	149	149	149	149	149	149	15	15	57	101	149	149	149	149	149	149	101	149	149	101	149	101	101	149	149	149	15	15	101	15	149	149	149	149	149	149	149	149	149	74	149	74	101	149	149	101	15	15	101	149	149	15	149	149	149	149	149	149	149	57	149	101	101	149	149	101	15	15	101	15	149	149	101	149	149	149	149	149	149	101	149	149	101	149	149	101	15	149	57	149	149	149	149	149	149	149	101	149	149	101	149	149	149	149	149	149	15	149	104	149	149	149	149	149	149	149	149	101	101	149	149	149	101	101	149	149	15	15	57	15	149	149	149	149	149	149	149	101	149	101	149	149	101	149	149	149	149	149	57	149	149	149	149	149	125	149	149	173	173	149	149	149	101	15	149	149	149	149	57	101	15	149	149	149	149	125	149	173	173	149	149	149	149	149	15	101	149	149	57	101	101	149	149	149	149	149	149	149	149	149	149	149	15	149	15	149
1	1	1	42	10	10	123	109	125	113	113	113	109	72	123	10	10	42	1	1	1	1	1	10	10	72	109	109	113	113	125	125	113	125	109	123	72	10	42	1	1	1	10	10	72	72	149	125	125	171	171	171	171	113	125	109	123	72	10	42	1	42	10	72	72	149	125	125	74	74	117	74	74	74	125	109	109	123	72	42	42	10	72	72	113	125	125	171	74	117	194	141	48	101	149	113	125	125	72	72	10	72	72	125	125	125	125	74	141	194	114	194	117	74	125	125	113	113	125	123	10	123	109	113	125	125	74	74	144	114	194	194	48	48	74	74	105	113	113	72	123	72	113	113	125	171	171	74	141	194	141	141	48	48	48	74	105	125	113	125	125	113	113	113	105	171	171	33	144	144	141	173	141	117	48	74	105	105	41	113	113	113	41	105	105	33	33	33	144	144	144	117	173	141	144	33	117	105	41	113	113	41	41	105	105	33	33	33	144	114	114	114	114	141	141	117	5	105	41	125	149	28	130	105	117	117	141	194	144	114	114	195	195	144	144	117	5	105	28	74	4	130	130	130	41	117	128	194	114	114	114	114	114	114	117	104	104	130	49	74	130	130	41	41	117	117	117	117	117	128	128	128	128	128	5	117	170	170	170	170	130	41	41	105	5	5	117	128	128	128	128	128	128	128	117	117	63	63	63	63	4	130	130	41	41	117	117	117	5	128	194	128	173	170	170	170	104	101	104	170	74	74	74	74	130	130	173	173	173	173	173	173	101	101	101	101	101	101	101	101	15	74	74	74	57	101	104	104	104	101	101	101	101	101	101	101	101	173	173	101	170	170	104	104	170	170	101	101	101	101	101	100	101	101	15	101	100	100	100	100	170	104	170	104	170	101	101	101	101	101	101	101	100	101	101	101	101	101	101	100
74	74	74	74	74	74	74	74	74	74	144	141	144	144	74	74	74	101	101	101	101	74	74	74	74	74	74	74	74	74	141	141	144	144	74	74	74	101	101	101	101	101	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	101	101	101	74	101	74	74	74	74	74	74	74	74	74	74	194	141	141	74	74	74	101	101	74	74	74	74	74	74	74	74	74	74	74	74	141	194	74	74	74	74	101	101	74	74	74	74	74	74	74	74	74	74	74	74	74	141	74	74	74	74	74	101	15	74	74	74	74	74	74	74	74	74	74	74	74	141	74	74	74	74	74	101	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	149	74	74	101	101	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	101	74	101	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	101	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	101	74	74	74	74	74	101	101	74	74	101	74	74	74	74	74	74	57	57	74	101	173	173	173	101	101	101	101	74	101	74	74	74	74	125	74	74	57	57	173	173	173	173	173	173	171	74	74	74	74	74	74	74	74	149	149	57	57	101	74	74	74	173	173	74	74	57	74	101	57	57	74	74	57	74	149	57	57	41	41	41	74	74	173	173	74	104	74	101	101	101	173	57	57	125	125	104	125	41	41	41	74	74	41	41	74	173	74	101	101	101	74	125	125	125	149	57	149	125	74	74	74	41	41	74	149	173	74	41	74	173	74	125	74	125	149	125	125	125	74	57	57	41	74	149	74	101	74	74	125	57	104	125	74	125	149
28	28	4	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	4	4	28	28	28	28	28	28	28	28	28	194	28	28	28	28	28	28	28	28	4	28	4	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	4	28	4	4	4	4	28	28	28	28	28	28	28	28	28	28	28	28	28	28	4	28	28	4	4	28	4	28	28	28	28	28	28	28	28	28	28	28	28	28	4	4	28	4	4	4	4	4	4	28	28	28	28	28	28	28	28	28	28	28	28	4	4	4	4	28	4	4	4	4	28	28	28	28	28	28	28	28	28	28	28	4	28	4	4	4	4	4	4	4	28	28	28	4	28	28	28	28	28	4	28	4	28	4	4	4	4	4	4	4	28	4	28	4	4	4	28	28	28	28	28	4	4	4	4	4	4	4	4	4	28	4	28	33	4	4	4	28	4	28	4	4	4	4	4	4	4	4	4	4	28	4	28	171	28	28	28	28	4	4	4	4	4	84	4	4	4	4	4	28	28	28	41	41	41	28	28	28	28	4	4	4	4	84	4	28	28	28	28	28	28	28	51	51	51	41	28	4	28	28	28	4	4	84	28	125	87	28	28	28	28	51	51	199	51	51	28	28	28	4	28	28	125	28	28	28	4	28	28	28	41	199	199	199	51	51	41	28	101	41	4	4	28	28	28	28	41	101	28	199	199	199	199	199	199	51	199	41	4	40	41	4	84	28	28	41	101	28	199	199	199	199	199	199	199	199	199	41	41	4	40	113	84	28	113	173	28	41	199	199	199	199	199	199	199	199	199	199	41	113	4	40	125	4	173	4	41	199	199	199	199	199	199	199	199	199	199	199	41	113	4	4	40
125	125	113	113	125	72	123	123	123	72	29	29	29	29	29	91	66	66	66	66	199	125	125	113	113	125	123	123	123	123	72	29	29	29	29	1	91	66	66	66	199	199	164	113	113	125	72	123	123	123	123	29	29	29	29	29	1	91	66	66	199	199	199	164	113	113	125	72	123	123	123	123	29	29	29	29	29	1	66	66	199	199	199	199	125	113	113	125	123	123	123	123	123	29	29	29	29	29	1	66	16	199	199	199	199	125	125	113	125	72	123	123	123	123	29	29	29	29	29	1	16	16	171	199	199	199	125	113	113	125	72	123	123	123	123	72	29	29	29	29	171	141	141	141	141	74	74	125	194	114	114	194	194	194	141	141	29	29	74	74	141	15	15	104	57	104	104	141	141	141	141	141	141	141	74	74	74	74	74	74	57	15	15	104	63	63	63	170	170	104	104	104	104	104	104	149	141	104	141	101	104	101	15	15	104	170	104	104	104	170	104	194	114	114	194	141	194	114	104	15	15	100	15	15	15	15	101	15	15	74	74	74	194	194	141	104	74	194	141	15	15	15	15	15	15	15	101	15	15	15	101	74	33	74	74	15	15	117	74	15	15	15	15	15	15	100	173	100	100	15	100	15	15	15	100	100	15	74	101	101	104	104	100	100	100	100	173	100	100	100	100	100	100	100	100	100	100	100	101	101	104	104	100	100	57	100	173	100	100	100	100	100	100	100	101	101	101	101	101	57	104	104	194	114	104	104	104	101	141	173	173	173	101	101	101	101	173	101	101	173	114	114	194	114	194	141	104	194	114	194	194	114	114	114	114	114	114	114	114	141	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	114	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	114
91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	57	91	91	91	91	91	91	91	91	142	142	142	142	142	142	142	142	142	142	91	91	91	91	91	91	91	91	91	91	142	142	142	142	142	142	142	142	142	142	142	91	91	91	91	91	91	91	91	91	142	142	142	142	142	142	142	142	142	142	142	91	91	91	91	91	91	91	91	91	91	142	142	142	142	142	142	142	142	142	142	91	91	91	91	91	91	91	91	91	91	142	142	142	142	142	142	142	142	142	142	91	91	91	91	91	91	91	91	91	91	142	142	142	142	142	142	142	142	142	142	91	91	91	91	91	91	91	91	91	91	91	91	91	142	142	142	142	142	142	142	57	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	48	91	91	91	91	91	91	91	91	91	91	91	91	91	91	48	48	48	48	48	48	91	91	91	91	91	91	74	91	91	91	91	91	91	91	91	48	91	91	91	48	48	91	91	74	48	74	74	74	91	91	91	91	91	91	48	48	57	91	91	91	91	91	91	91	91	91	91	91	57	91	91	91	91	57	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	57	91	91	91	91	91	91	91	91	91	91	48	74	74	91	74	91	91	91	91	91	91	91	91	91	91	91	48	48	48	48	48	74	91	91	91	91	91	91	91	91	91	91	91	91	91	91	48	91	91	48	48	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	57	91	91	91
